,0,1,2,3,4,5,Next
4489,4D,5S,4S,3C,AH,,
4490,9C,KH,10D,,,,
4491,9D,5D,KH,,,,
4492,6D,8D,QH,,,,
4493,KS,KD,5H,,,,
4494,8H,KD,9S,,,,
4495,QD,6C,10S,,,,
4496,8H,AC,7H,JS,,,
4497,6S,6H,7D,10C,,,
4498,AH,3S,8H,7C,QD,,
4499,4C,8D,JD,,,,
4500,6S,5C,5S,4D,9D,,
4501,5C,AC,2S,,,,
4502,10C,2S,KD,,,,
4503,KD,8H,9D,,,,
4504,QH,10H,9D,,,,
4505,7H,4H,AH,,,,
4506,9S,9C,KD,,,,
4507,10C,7S,5H,,,,
4508,AS,3S,8C,8H,7C,,
4509,5S,AC,3H,3D,AD,4H,9H
4510,6D,7H,AC,8D,,,
4511,9C,10H,4S,,,,
4512,10C,5H,AS,2D,KS,,
4513,5C,6S,JD,,,,
4514,6S,7S,KC,,,,
4515,3H,3D,9H,QS,,,
4516,KS,2S,8D,AD,,,
4517,2C,9C,JH,,,,
4518,QS,3D,4C,,,,
4519,QC,4D,2S,,,,
4520,7C,9H,7S,,,,
4521,KS,QC,3D,,,,
4522,7D,JC,4C,,,,
4523,JH,8C,4H,,,,
4524,3D,7S,4H,6H,,,
4525,4H,10C,5D,,,,
4526,7D,5H,KC,,,,
4527,5H,QH,10D,,,,
4528,JC,3S,KC,,,,
4529,6S,QH,9S,,,,
4530,2D,5C,QH,6D,,,
4531,AD,3D,4C,,,,
4532,10C,4S,4D,,,,
4533,KC,AS,9D,QC,,,
4534,8C,10S,4D,,,,
4535,QS,7S,JS,,,,
4536,7C,6C,8C,,,,
4537,9D,AC,3S,,,,
4538,KH,3C,AH,JS,,,
4539,5H,QC,3H,7C,,,
4540,4C,2C,9D,2H,JH,,
4541,QS,10H,3H,,,,
4542,QC,JS,4D,,,,
4543,8H,6S,10H,,,,
4544,7C,9C,AD,,,,
4545,2H,JD,5H,5S,,,
4546,6D,2C,5C,2D,,,
4547,9S,KC,5C,,,,
4548,6S,6C,8H,,,,
4549,4D,7C,4H,JD,,,
4550,AD,5D,8C,,,,
4551,5S,4C,10S,,,,
4552,9S,6S,9D,,,,
4553,9H,7S,7D,,,,
4554,7S,9D,4S,8H,,,
4555,10C,2S,2C,,,,
4556,QH,7H,8C,,,,
4557,4D,6S,7H,QC,,,
4558,8H,9C,3S,,,,
4559,2C,4S,6D,AS,,,
4560,9D,QC,4H,,,,
4561,4C,JC,QH,,,,
4562,4S,7C,9H,10S,,,
4563,7S,6C,5S,10D,,,
4564,JD,KC,3H,,,,
4565,2D,4H,2C,5C,2H,,
4566,JD,8C,KC,,,,
4567,JH,7C,QS,,,,
4568,10H,6S,7H,,,,
4569,AD,KC,9H,,,,
4570,8D,5S,7C,4C,,,
4571,10C,3C,5C,,,,
4572,7C,4S,KH,,,,
4573,3D,7D,JC,2H,,,
4574,9C,AH,7H,,,,
4575,3C,QD,2C,QC,,,
4576,KC,5H,AS,,,,
4577,2C,KS,QS,,,,
4578,3D,AC,8D,,,,
4579,10H,KH,AC,,,,
4580,5C,AS,6S,6D,,,
4581,AD,JC,QC,,,,
4582,10S,AS,3D,KD,,,
4583,AH,9D,6S,5C,,,
4584,2C,AC,8C,5C,,,
4585,9S,JC,5C,,,,
4586,10C,2H,2S,,,,
4587,JC,7D,10H,,,,
4588,AS,QC,6S,,,,
4589,2D,4S,3H,AC,,,
4590,3S,4C,4D,2D,8C,,
4591,9S,8C,10D,,,,
4592,10C,9S,AC,,,,
4593,KH,8H,3D,,,,
4594,4H,6S,JH,8D,,,
4595,AD,5S,QD,4H,,,
4596,8S,AC,10H,QD,,,
4597,5D,2C,4S,10D,,,
4598,JS,4C,2D,KH,,,
4599,AC,3S,2D,10H,5D,,
4600,JH,7D,7S,,,,
4601,2D,10D,4H,KH,,,
4602,8H,KD,6H,,,,
4603,JS,10S,9S,,,,
4604,JS,9S,QS,,,,
4605,8D,7H,AC,,,,
4606,10H,8S,7H,,,,
4607,2H,7C,4C,AH,7H,,
4608,2D,4D,QS,7H,,,
4609,KD,4C,QH,,,,
4610,QD,2C,9H,,,,
4611,4H,JH,JC,,,,
4612,10H,5D,5H,,,,
4613,8C,JH,10H,,,,
4614,JD,4C,4H,QH,,,
4615,JH,8S,2D,,,,
4616,5D,7C,2D,JS,,,
4617,JC,QD,8S,,,,
4618,8S,QH,6S,,,,
4619,8C,5S,9S,,,,
4620,7C,5D,9H,,,,
4621,8C,7S,JC,,,,
4622,AH,9S,JS,,,,
4623,AC,10S,4D,,,,
4624,KH,4S,5D,,,,
4625,QS,KC,7C,,,,
4626,7C,JH,6C,,,,
4627,10C,4S,7D,,,,
4628,JS,5D,2H,,,,
4629,6H,KD,10D,,,,
4630,JC,3D,AC,3S,9H,,
4631,6S,2D,10D,4D,,,
4632,8H,9D,3H,QD,,,
4633,KD,6C,7C,,,,
4634,3C,JC,5S,,,,
4635,JD,3S,9D,,,,
4636,AS,10H,4H,,,,
4637,QD,3S,KH,,,,
4638,4H,5H,9C,2H,3H,,
4639,2D,KH,4D,2C,JS,,
4640,7C,6H,JH,,,,
4641,5H,AH,8S,,,,
4642,8C,5D,QH,,,,
4643,AH,2C,4D,,,,
4644,QS,5D,JS,,,,
4645,JH,3S,2S,9D,,,
4646,8S,5D,AH,2H,,,
4647,3D,KC,KD,,,,
4648,4H,2S,JS,AC,AD,,
4649,AC,5D,5C,8H,AD,9D,
4650,7H,6H,10S,,,,
4651,JS,4C,6H,4D,,,
4652,AD,6C,KH,,,,
4653,7C,4D,AC,,,,
4654,QS,2S,4H,KC,,,
4655,QC,5C,KC,,,,
4656,QD,7D,5C,,,,
4657,9D,3H,10C,,,,
4658,KH,4C,9D,,,,
4659,10D,6D,QH,,,,
4660,6H,6S,AS,,,,
4661,QD,10D,10C,,,,
4662,4D,5H,4S,6H,AS,,
4663,2H,7H,6H,QD,,,
4664,5S,8H,3D,,,,
4665,JH,7D,AH,10C,,,
4666,10D,QS,2S,,,,
4667,9H,JD,QS,,,,
4668,8C,7C,4D,KS,,,
4669,QH,6S,8H,,,,
4670,7C,10S,3H,10H,,,
4671,AS,3D,3C,,,,
4672,JH,5H,9C,,,,
4673,8S,3S,7C,3D,,,
4674,7D,10C,JH,,,,
4675,4D,9S,2S,QH,,,
4676,2H,8C,9H,8D,,,
4677,7H,9S,KC,,,,
4678,5C,3S,2H,2S,7D,9H,
4679,5D,AD,4D,9D,,,
4680,AC,4D,JD,3H,QC,,
4681,4H,6S,KD,AS,,,
4682,7S,9D,KC,,,,
4683,5S,AC,8H,,,,
4684,QD,4S,7H,,,,
4685,10D,JS,5S,,,,
4686,QC,6S,3S,,,,
4687,3S,2S,6C,10D,,,
4688,7C,2D,6S,,,,
4689,KD,JH,7C,,,,
4690,3D,8D,10H,,,,
4691,6H,4C,2H,QD,,,
4692,2D,JH,2H,,,,
4693,8D,2H,9H,3H,,,
4694,AS,5D,10H,,,,
4695,4D,5C,5S,6H,,,
4696,8C,KD,5H,,,,
4697,7S,5C,AH,QS,,,
4698,AS,3C,5D,6C,,,
4699,4D,QD,6S,,,,
4700,10S,5D,2C,,,,
4701,9C,JH,KS,,,,
4702,9D,KH,3S,,,,
4703,7D,10S,10H,,,,
4704,3H,9S,AS,,,,
4705,7D,10S,5C,,,,
4706,6D,6H,3S,3D,8C,,
4707,KC,4H,AS,8S,,,
4708,JC,QH,QS,,,,
4709,9C,KS,10S,,,,
4710,KS,QD,8H,,,,
4711,10S,QS,6D,,,,
4712,AD,4H,7H,5D,6S,,
4713,8S,AC,JH,3D,,,
4714,3H,4H,7H,KD,,,
4715,6H,9S,AC,KD,,,
4716,JS,4S,AH,AC,6C,,
4717,QS,AD,5H,7H,,,
4718,QS,7C,7D,,,,
4719,AC,3C,2D,,,,
4720,QD,QS,AH,,,,
4721,4D,QC,5H,,,,
4722,AC,JC,JH,,,,
4723,3S,2D,3D,2H,AH,QH,
4724,KH,AH,5C,QD,,,
4725,4C,AS,KH,2S,7S,,
4726,9S,QH,3D,,,,
4727,AH,QD,8C,QS,,,
4728,9C,6C,QD,,,,
4729,JH,8D,10D,,,,
4730,9D,AD,5D,10D,,,
4731,8D,6D,8C,,,,
4732,4C,JS,8S,,,,
4733,7S,KD,9H,,,,
4734,6C,8D,2H,,,,
4735,7S,JD,2S,4D,,,
4736,6C,6D,10D,,,,
4737,KD,QD,8H,,,,
4738,2H,9H,5D,KS,,,
4739,AH,KS,7H,QC,,,
4740,10C,7D,8D,,,,
4741,JD,6D,9D,,,,
4742,9H,5C,KC,,,,
4743,KC,2H,5D,,,,
4744,5C,QS,QC,,,,
4745,10H,5C,6S,,,,
4746,10D,KC,3C,,,,
4747,2D,3C,9H,,,,
4748,8H,QC,2H,JH,,,
4749,3D,QC,7H,,,,
4750,6D,10S,9D,,,,
4751,7H,2D,5H,AS,10H,,
4752,10D,7H,6H,,,,
4753,8D,5D,KC,,,,
4754,7C,AS,3C,,,,
4755,3S,3D,9H,9D,,,
4756,AC,5S,9S,,,,
4757,7D,6D,4D,5C,,,
4758,9S,JC,AC,9C,,,
4759,KS,QS,6C,,,,
4760,7S,6C,4S,JH,,,
4761,6C,7S,AH,,,,
4762,AD,9S,4S,KS,,,
4763,6H,10S,7D,,,,
4764,4S,3H,9C,,,,
4765,9H,5D,KD,,,,
4766,JC,5H,6C,,,,
4767,QC,4S,AC,,,,
4768,5C,2S,3C,,,,
4769,KC,8H,JS,,,,
4770,2H,3S,QH,,,,
4771,KH,8S,5H,,,,
4772,JH,7S,JD,,,,
4773,5D,4S,3C,2D,,,
4774,7C,AC,2H,,,,
4775,8D,JD,9D,,,,
4776,6D,QH,3H,,,,
4777,5S,9D,10C,,,,
4778,7S,9C,JC,,,,
4779,6D,10C,AD,4H,,,
4780,10H,7D,6C,,,,
4781,JC,AD,AC,7C,6D,,
4782,2H,2D,9H,,,,
4783,KC,2C,JC,,,,
4784,10H,10C,JC,,,,
4785,QD,5S,8D,,,,
4786,5D,4D,QS,AH,2S,,
4787,9S,JC,9C,,,,
4788,5C,3C,JD,,,,
4789,10S,JS,4H,,,,
4790,8C,KC,9D,,,,
4791,KD,6H,2D,,,,
4792,QS,6S,KD,,,,
4793,6S,AH,5H,3H,,,
4794,10H,4D,7H,,,,
4795,JC,6H,6C,,,,
4796,2S,JD,2C,,,,
4797,AS,AC,QS,,,,
4798,7C,5C,8H,JS,,,
4799,6S,KS,3H,9D,,,
4800,10S,AH,KC,,,,
4801,6C,KH,2S,AC,QS,,
4802,KD,5C,8D,,,,
4803,5C,7S,3H,4H,8S,,
4804,10D,9H,9D,,,,
4805,AH,9S,5C,,,,
4806,QC,5C,3S,4H,,,
4807,8C,AC,3H,JH,,,
4808,6D,10S,9C,,,,
4809,7D,AD,JH,,,,
4810,8H,4C,10S,,,,
4811,7D,3C,2D,,,,
4812,2C,JS,QH,,,,
4813,2H,9C,6H,8D,,,
4814,2D,7C,9H,,,,
4815,5H,6H,QC,,,,
4816,8C,JD,10C,,,,
4817,3S,10H,9C,,,,
4818,KH,7H,10H,,,,
4819,7S,7H,9S,,,,
4820,7H,4H,KH,,,,
4821,QC,10S,4D,,,,
4822,6D,QD,QC,,,,
4823,3H,JC,3S,AH,AD,,
4824,JD,AS,10C,,,,
4825,9H,5H,JS,,,,
4826,4C,10C,9S,,,,
4827,JD,9S,KH,,,,
4828,7S,KD,7C,,,,
4829,JC,KH,AC,,,,
4830,JD,AH,3H,3S,,,
4831,4S,AH,3D,3C,8S,,
4832,5H,QH,7H,,,,
4833,QD,10D,3C,,,,
4834,KC,9D,2S,,,,
4835,9C,8C,6D,,,,
4836,JH,8S,AD,3D,,,
4837,3C,JC,KC,,,,
4838,7H,QC,9C,,,,
4839,AC,KC,QC,,,,
4840,7S,10C,4C,,,,
4841,5C,6S,2C,,,,
4842,QS,8C,8D,,,,
4843,9C,10D,KS,,,,
4844,JS,10D,8C,,,,
4845,6H,3S,AC,,,,
4846,AD,KD,6C,,,,
4847,4S,KD,QD,,,,
4848,2S,5S,3H,,,,
4849,3C,3H,7H,,,,
4850,7C,6S,3D,QC,,,
4851,QC,KD,6H,,,,
4852,7H,JD,10C,,,,
4853,8C,6D,8H,,,,
4854,KC,2D,AC,6S,,,
4855,JH,JD,2D,,,,
4856,9C,KS,3C,,,,
4857,AC,AD,6H,,,,
4858,3D,KC,4H,QC,,,
4859,10D,2C,7D,3C,,,
4860,4D,5H,6C,6H,,,
4861,4S,AD,2H,3S,,,
4862,10C,3S,7D,AD,,,
4863,4H,2S,QH,,,,
4864,JH,3H,5S,,,,
4865,8H,7D,JD,,,,
4866,2H,6D,2D,AH,,,
4867,5S,7D,6C,,,,
4868,2D,10S,KC,,,,
4869,10H,8S,5D,,,,
4870,KD,4S,5D,10H,,,
4871,2D,10H,5H,,,,
4872,3D,KC,QD,,,,
4873,2H,QS,QD,,,,
4874,8C,9D,AS,3D,,,
4875,6S,8S,9H,,,,
4876,2D,KC,6C,,,,
4877,9S,9H,QH,,,,
4878,7D,10D,KC,,,,
4879,7S,AD,9S,,,,
4880,9C,7S,5S,,,,
4881,4C,2D,QC,KC,,,
4882,KH,3C,2C,10D,,,
4883,KD,AS,8D,,,,
4884,9H,4S,6H,,,,
4885,2C,2D,JS,,,,
4886,5S,10C,2C,KC,,,
4887,5D,10C,6D,,,,
4888,9D,3D,2S,9C,,,
4889,4S,10D,8S,,,,
4890,JH,KD,KS,,,,
4891,10D,10C,5D,,,,
4892,JS,8H,6C,,,,
4893,KS,4C,6C,,,,
4894,4S,9S,6H,9H,,,
4895,5S,5H,7C,5C,,,
4896,2C,10D,4C,,,,
4897,6C,7C,10H,,,,
4898,4H,QS,9S,,,,
4899,8D,7C,JD,,,,
4900,4C,9D,2D,4D,7C,,
4901,7S,10C,4D,,,,
4902,4H,QS,8D,,,,
4903,10S,KH,JH,,,,
4904,6C,JH,9D,,,,
4905,KC,3S,2S,,,,
4906,2D,4D,QD,10C,,,
4907,2D,AD,2C,8S,,,
4908,2H,AH,4H,,,,
4909,5S,AC,10C,,,,
4910,QC,AC,JS,,,,
4911,4C,AD,QH,5S,,,
4912,QC,7H,JS,,,,
4913,AS,2S,6C,10H,,,
4914,AD,7C,3H,,,,
4915,10D,8H,AH,,,,
4916,8D,9S,QD,,,,
4917,AD,6D,10C,7S,,,
4918,6D,JS,JH,,,,
4919,KS,8C,8S,,,,
4920,10S,5H,QH,,,,
4921,JS,JD,7S,,,,
4922,6H,3C,8D,9D,,,
4923,9H,KH,5H,,,,
4924,2H,2D,8D,,,,
4925,JC,2C,QH,,,,
4926,KS,5H,KD,,,,
4927,7C,9D,10S,,,,
4928,3C,JS,4S,KD,,,
4929,AD,5H,5D,,,,
4930,AS,JC,QC,,,,
4931,10C,AD,QH,,,,
4932,JC,2H,9S,,,,
4933,7H,AD,9D,QH,,,
4934,5C,KS,2S,,,,
4935,AS,10S,9D,8H,,,
4936,2S,4S,3S,,,,
4937,5S,QC,4S,,,,
4938,10C,6D,2D,7C,,,
4939,JH,4H,10D,,,,
4940,7S,2S,5S,6C,8C,,
4941,10C,3D,7D,,,,
4942,10C,KD,2D,,,,
4943,8H,5S,3H,,,,
4944,QH,2D,9D,,,,
4945,7H,6H,10S,,,,
4946,9C,QD,5C,,,,
4947,7H,9C,QS,,,,
4948,10D,8S,7D,,,,
4949,4S,KH,KC,,,,
4950,4D,7C,JS,,,,
4951,5D,KD,3D,KC,,,
4952,5H,10C,QS,,,,
4953,9H,6S,3D,3S,,,
4954,5S,7D,KC,,,,
4955,6D,6S,7C,AD,,,
4956,AS,2H,7D,,,,
4957,8H,8C,6S,,,,
4958,10S,KD,3S,,,,
4959,2D,2H,6C,QD,,,
4960,2S,7S,AC,9D,,,
4961,9H,8C,7C,,,,
4962,4D,4S,JD,,,,
4963,4D,3D,6H,4S,,,
4964,4H,QS,5H,8D,,,
4965,2C,3C,6S,,,,
4966,2S,6C,QS,4H,,,
4967,5C,7S,10C,,,,
4968,9S,AC,5C,9D,,,
4969,9H,5C,10S,,,,
4970,8C,6H,9D,,,,
4971,9C,2D,5D,,,,
4972,QD,8S,10S,,,,
4973,6S,6H,KD,,,,
4974,JH,AH,5S,,,,
4975,10S,8H,10C,,,,
4976,2H,9D,5D,KH,,,
4977,QS,4C,2S,AC,,,
4978,QD,7H,5C,,,,
4979,8C,AC,9C,9D,,,
4980,4H,QC,AS,,,,
4981,8D,9H,10H,,,,
4982,QC,3S,4D,3C,KH,,
4983,KH,3S,4D,,,,
4984,2D,8D,8H,,,,
4985,AH,QC,JC,,,,
4986,8D,5C,JS,,,,
4987,9S,10C,7S,,,,
4988,KD,2D,5C,10S,,,
4989,JD,2C,6C,,,,
4990,4D,6D,JH,6C,,,
4991,4D,7S,AS,,,,
4992,2D,6D,9S,7S,,,
4993,5D,8H,QD,,,,
4994,4S,5H,6D,9H,,,
4995,AS,7H,QD,2S,JH,,
4996,3S,8D,KH,,,,
4997,3D,3S,QC,,,,
4998,9S,2D,7H,6S,,,
4999,3C,8H,6D,,,,
5000,JS,7S,9S,,,,
5001,6S,KH,6D,,,,
5002,10S,6H,7D,,,,
5003,JD,KC,9C,,,,
5004,5C,KH,8H,,,,
5005,9D,5C,5H,AD,,,
5006,4H,8S,5C,9D,,,
5007,JC,KH,JS,,,,
5008,QC,QS,AD,,,,
5009,JH,KC,5D,,,,
5010,8S,9C,QC,,,,
5011,10C,7C,6D,,,,
5012,7S,8C,2S,6S,,,
5013,10S,5C,9H,,,,
5014,JS,QC,KC,,,,
5015,AC,9C,7H,3H,8C,,
5016,3C,2D,KD,KC,,,
5017,4H,9S,QH,,,,
5018,JD,4S,5S,QS,,,
5019,8H,3D,7S,JS,,,
5020,JC,6H,10D,,,,
5021,AC,3H,8C,,,,
5022,QH,QD,JS,,,,
5023,10S,AC,8S,,,,
5024,9C,AD,9H,,,,
5025,5C,8H,2C,4S,10S,,
5026,5S,QS,JD,,,,
5027,10H,9D,3C,,,,
5028,10S,QD,5C,,,,
5029,10C,AD,8C,QC,,,
5030,9S,2C,AD,8C,10H,,
5031,9C,2H,AC,2C,,,
5032,3C,KS,8C,,,,
5033,6H,KS,QS,,,,
5034,8H,5S,KS,,,,
5035,AS,10H,KH,,,,
5036,4S,7H,KC,,,,
5037,10H,QH,KD,,,,
5038,10D,4C,KD,,,,
5039,QH,6H,JD,,,,
5040,AD,10H,KH,,,,
5041,4C,2C,KH,5C,,,
5042,7H,QD,3D,9S,,,
5043,KS,2D,3D,,,,
5044,AD,5S,6C,AC,AH,3C,
5045,JS,4H,10H,,,,
5046,KH,QH,9D,,,,
5047,AS,QH,10C,,,,
5048,QC,3D,8D,,,,
5049,6D,6H,9D,,,,
5050,7C,10H,9H,,,,
5051,9S,8H,8C,,,,
5052,8D,2H,3H,JH,,,
5053,QC,6S,7H,,,,
5054,JH,2D,9H,,,,
5055,6H,7C,4H,7H,,,
5056,3H,8D,KH,,,,
5057,AD,9D,4C,4H,KC,,
5058,7D,KC,2S,,,,
5059,2H,QD,8S,2D,,,
5060,3C,10C,5H,KH,,,
5061,3C,JD,5H,7H,,,
5062,AS,5C,5D,2H,,,
5063,KD,9C,3H,,,,
5064,QS,10H,9C,,,,
5065,3C,6H,5H,AS,,,
5066,AS,6S,10H,,,,
5067,6D,7D,4S,,,,
5068,AS,2S,7D,,,,
5069,2C,7H,8D,,,,
5070,JC,2C,AS,2S,,,
5071,8C,AS,4C,,,,
5072,JC,5S,JH,,,,
5073,JH,9C,AH,,,,
5074,QD,7D,6H,,,,
5075,6H,4D,9D,8S,,,
5076,6D,7C,8C,,,,
5077,AD,3H,2D,6H,,,
5078,8D,7H,QC,,,,
5079,KS,JD,9S,,,,
5080,3S,AH,AS,,,,
5081,6C,KC,4D,8D,,,
5082,9C,AC,5C,,,,
5083,4D,QH,KC,,,,
5084,7C,AS,KC,3S,,,
5085,8S,2D,2C,10H,,,
5086,KC,7C,9S,,,,
5087,8H,JC,7D,,,,
5088,10D,10C,9D,,,,
5089,5H,JS,KH,,,,
5090,JH,5D,KH,,,,
5091,KS,8S,7S,,,,
5092,QS,4D,6H,,,,
5093,QC,AH,6S,3H,,,
5094,KC,JH,AC,,,,
5095,8S,QH,KD,,,,
5096,2S,8H,QH,,,,
5097,2S,QH,KD,,,,
5098,3C,6H,2S,AS,2D,9S,
5099,10S,4S,8H,,,,
5100,4S,AD,2H,,,,
5101,KC,3H,QH,,,,
5102,3H,10S,QC,,,,
5103,9C,3D,9D,,,,
5104,AC,KD,10D,,,,
5105,10H,AH,3C,,,,
5106,10S,5D,8S,,,,
5107,KS,4S,2C,4D,9C,,
5108,AC,AD,3H,QD,,,
5109,4C,5H,8D,JS,,,
5110,2H,KC,4D,8H,,,
5111,JC,9D,JS,,,,
5112,AS,KC,3S,,,,
5113,8C,KH,3D,,,,
5114,8S,9H,QC,,,,
5115,8H,AD,10D,10C,,,
5116,6C,10D,5H,,,,
5117,2H,9S,10C,,,,
5118,QC,AS,KH,,,,
5119,AC,4D,2C,,,,
5120,7S,8H,KC,,,,
5121,2S,AH,QD,7H,,,
5122,4D,2H,7S,,,,
5123,9D,8H,AD,8S,,,
5124,JH,6C,8D,,,,
5125,10D,8C,QS,,,,
5126,KS,AD,9S,,,,
5127,8H,6H,KD,,,,
5128,7H,4D,8H,,,,
5129,7D,2D,10S,,,,
5130,8C,7C,KD,,,,
5131,10C,2D,JS,,,,
5132,10C,4H,3H,,,,
5133,7D,2C,4C,,,,
5134,2H,10S,5D,QS,,,
5135,7C,QS,5D,,,,
5136,9D,2D,AS,,,,
5137,4D,JH,QH,,,,
5138,QC,KD,6S,,,,
5139,AS,10S,8C,JH,,,
5140,2D,10D,3C,4D,,,
5141,6C,AC,JC,,,,
5142,KH,4S,JS,,,,
5143,10H,5H,8S,,,,
5144,8H,9S,3S,8S,,,
5145,AC,2D,6H,8C,,,
5146,8C,QC,9C,,,,
5147,QH,2S,6H,,,,
5148,9C,7S,JC,,,,
5149,7D,4S,5S,AD,JD,,
5150,7S,JS,4S,,,,
5151,10D,3C,JS,,,,
5152,AD,AH,KC,7S,8D,,
5153,6C,5H,9S,7H,,,
5154,6S,9D,KS,,,,
5155,4C,4H,6C,QS,,,
5156,9H,7D,3S,8H,,,
5157,7H,2H,4S,4C,,,
5158,JD,7H,QS,,,,
5159,QS,10H,4D,,,,
5160,AC,8H,QH,5D,,,
5161,9C,QD,7S,,,,
5162,3H,8S,3C,,,,
5163,7D,10C,4S,,,,
5164,6S,QC,4S,3S,,,
5165,KH,7D,7C,,,,
5166,7H,5H,2H,8S,,,
5167,JH,8C,9H,,,,
5168,9C,8H,4D,,,,
5169,10S,3S,5S,,,,
5170,QD,QH,3D,,,,
5171,5H,6C,AD,,,,
5172,6D,4S,2H,4C,9D,,
5173,9D,QC,2H,,,,
5174,10D,2D,8H,,,,
5175,2H,QS,2C,,,,
5176,9S,5D,6D,7H,,,
5177,AC,KS,4S,,,,
5178,8H,8D,2S,6D,,,
5179,QC,7H,KC,,,,
5180,8H,3C,5S,9D,,,
5181,6S,8H,6H,8D,,,
5182,2S,QD,10D,,,,
5183,QS,4D,QD,,,,
5184,5H,KH,AD,AS,3D,,
5185,QD,KH,8S,,,,
5186,9C,AD,5D,,,,
5187,3C,4C,KS,9H,,,
5188,7S,KC,2S,10H,,,
5189,QD,3S,KH,,,,
5190,3H,3D,QH,6S,,,
5191,9C,KS,6H,,,,
5192,QH,8S,6H,,,,
5193,9C,4S,AS,4C,,,
5194,AH,KD,7S,,,,
5195,4H,7H,AH,2C,,,
5196,6D,5D,KC,,,,
5197,9H,2S,4S,6H,,,
5198,KS,8C,7C,,,,
5199,4C,9D,8D,,,,
5200,7C,JD,3S,JH,,,
5201,4H,3H,JC,6H,,,
5202,QD,JD,7H,,,,
5203,JD,10D,2C,,,,
5204,5D,QS,2H,,,,
5205,5H,3S,10H,,,,
5206,7H,8S,4S,,,,
5207,7H,7D,3D,8S,,,
5208,3S,7H,QD,KH,,,
5209,2H,7D,4C,AC,,,
5210,9D,2S,10S,,,,
5211,QD,2C,4D,6C,,,
5212,4H,5H,JH,4C,,,
5213,5S,4D,6D,5C,8H,,
5214,AD,QH,10H,,,,
5215,9D,5S,6S,2H,,,
5216,4D,7S,2H,,,,
5217,QS,6S,QD,,,,
5218,10H,8S,JD,,,,
5219,8C,10S,KH,,,,
5220,3D,8C,QD,,,,
5221,5C,KH,5S,,,,
5222,6C,9D,8D,,,,
5223,6S,AH,9S,10H,,,
5224,10D,9H,KD,,,,
5225,3S,10C,7C,AS,,,
5226,3S,9S,KC,,,,
5227,QD,7C,5C,,,,
5228,JS,QD,6C,,,,
5229,4D,8H,5D,,,,
5230,3H,KC,4H,QS,,,
5231,8C,10C,JC,,,,
5232,10C,JH,7D,,,,
5233,5C,3D,QD,,,,
5234,3D,QD,6D,AD,10D,,
5235,3H,9S,8S,10H,,,
5236,JC,6C,KD,,,,
5237,2H,6D,5S,JS,,,
5238,4S,8S,QD,,,,
5239,6H,10C,QH,,,,
5240,3H,8D,JC,,,,
5241,6D,5C,10C,,,,
5242,3H,6S,4D,3D,,,
5243,2H,KC,4C,7S,,,
5244,KS,4S,6H,,,,
5245,5S,9C,AS,7C,,,
5246,9S,2S,10H,,,,
5247,9C,AD,5C,QD,,,
5248,7H,JS,3H,,,,
5249,AC,JS,8S,,,,
5250,10D,7C,JD,,,,
5251,10C,6C,8C,,,,
5252,6H,10C,2H,10D,,,
5253,9D,AC,7H,3H,10D,,
5254,4S,JS,QC,,,,
5255,6H,7S,8C,,,,
5256,4C,8D,5S,,,,
5257,2H,9H,6H,3C,,,
5258,QC,KD,6H,,,,
5259,6H,AC,6S,10C,,,
5260,JS,QD,5H,,,,
5261,5S,KC,5C,9D,,,
5262,9H,6H,QC,,,,
5263,10D,KD,10H,,,,
5264,QC,2S,6C,4D,,,
5265,AC,7C,3C,10D,,,
5266,KC,8H,10S,,,,
5267,JD,QH,AS,,,,
5268,4C,2H,2C,10S,,,
5269,4H,JS,6C,10D,,,
5270,9D,2S,7S,,,,
5271,5S,4C,3H,7C,10C,,
5272,7C,QS,4C,,,,
5273,4H,3C,6C,,,,
5274,3S,3D,AS,,,,
5275,3H,AH,2D,2H,,,
5276,JD,AC,QC,,,,
5277,AH,7C,3D,9C,,,
5278,2C,8C,4S,,,,
5279,4H,JD,JS,,,,
5280,5D,QC,9H,,,,
5281,QH,JC,3H,,,,
5282,3C,6D,6H,6C,,,
5283,2C,6H,KD,,,,
5284,KD,10S,6S,,,,
5285,2H,4S,3S,2S,,,
5286,JS,AD,3S,2C,JH,,
5287,7H,6C,JS,,,,
5288,2H,4C,6S,,,,
5289,9D,KC,10H,,,,
5290,JD,4C,9H,,,,
5291,4C,JD,4S,,,,
5292,QD,3C,5C,KC,,,
5293,7S,4C,3H,5D,6D,,
5294,7H,5C,10H,,,,
5295,JC,2S,7S,5H,,,
5296,4C,2H,8S,,,,
5297,9H,6S,JH,,,,
5298,2H,8C,4D,9D,,,
5299,10D,8C,5C,,,,
5300,10C,8C,QS,,,,
5301,3H,AS,10S,,,,
5302,10H,6D,JD,,,,
5303,10D,3H,AC,2H,QS,,
5304,9S,8D,10C,,,,
5305,9S,4C,10C,,,,
5306,QD,2H,9D,,,,
5307,8H,QS,4D,,,,
5308,QS,6H,9S,,,,
5309,5C,AD,JC,7H,,,
5310,6C,JH,9S,,,,
5311,10H,5D,AS,,,,
5312,8H,4S,7D,,,,
5313,4C,4H,9H,,,,
5314,7H,JD,JS,,,,
5315,QS,AH,AS,,,,
5316,7H,AH,JH,AD,,,
5317,QS,8S,KC,,,,
5318,8C,AH,9C,,,,
5319,2S,6D,5D,KS,,,
5320,JC,AC,7C,6C,,,
5321,9D,9H,8D,,,,
