,Card0,Card1,Card2,Card3,Card4,Card5,H/S,W/L,Answer,Final,P_Score,D_Score
2536,AC,6S,2H,3S,2D,,1.0,1.0,1.0,0.0,20,19
2537,AC,6S,2H,3S,2D,6H,1.0,0.0,0.0,1.0,30,19
2538,2S,6D,,,,,0.0,0.0,1.0,1.0,8,13
2539,KS,9H,,,,,0.0,0.0,1.0,1.0,19,21
2540,JC,6C,,,,,1.0,1.0,1.0,0.0,17,17
2541,JC,6C,AH,,,,0.0,1.0,0.0,1.0,17,17
2542,8D,3C,,,,,1.0,1.0,1.0,0.0,15,12
2543,8D,3C,4D,,,,0.0,1.0,0.0,1.0,15,12
2544,3H,QD,,,,,1.0,0.0,0.0,1.0,23,13
2545,6H,2H,,,,,1.0,1.0,1.0,0.0,11,15
2546,6H,2H,3D,,,,1.0,1.0,1.0,0.0,14,15
2547,6H,2H,3D,3S,,,0.0,0.0,1.0,1.0,14,16
2548,7S,9S,,,,,0.0,0.0,1.0,1.0,16,18
2549,9C,5S,,,,,0.0,1.0,0.0,1.0,14,7
2550,4H,8H,,,,,1.0,1.0,1.0,0.0,15,20
2551,4H,8H,3S,,,,1.0,1.0,1.0,0.0,16,20
2552,4H,8H,3S,AC,,,0.0,1.0,0.0,1.0,16,22
2553,7D,5C,,,,,0.0,1.0,0.0,1.0,12,10
2554,10C,6D,,,,,0.0,1.0,0.0,1.0,16,28
2555,3D,KS,,,,,1.0,1.0,1.0,0.0,14,19
2556,3D,KS,AS,,,,1.0,0.0,0.0,1.0,22,19
2557,6H,2H,,,,,0.0,1.0,0.0,1.0,8,24
2558,JD,7S,,,,,0.0,0.0,1.0,1.0,17,20
2559,3D,10D,,,,,0.0,0.0,1.0,1.0,13,17
2560,JS,QC,,,,,0.0,1.0,0.0,1.0,20,9
2561,4C,KH,,,,,1.0,1.0,1.0,0.0,20,13
2562,4C,KH,6C,,,,0.0,1.0,0.0,1.0,20,13
2563,QH,3S,,,,,0.0,1.0,0.0,1.0,13,27
2564,7S,QS,,,,,1.0,1.0,1.0,0.0,19,13
2565,7S,QS,2S,,,,1.0,0.0,0.0,1.0,24,13
2566,2D,QC,,,,,0.0,1.0,0.0,1.0,12,11
2567,QH,8S,,,,,1.0,0.0,0.0,1.0,28,20
2568,JH,7D,,,,,1.0,1.0,1.0,0.0,20,16
2569,JH,7D,3D,,,,0.0,1.0,0.0,1.0,20,26
2570,4D,10S,,,,,1.0,1.0,1.0,0.0,20,9
2571,4D,10S,6H,,,,0.0,1.0,0.0,1.0,20,9
2572,5D,8H,,,,,1.0,0.0,0.0,1.0,23,21
2573,7C,3H,,,,,0.0,0.0,1.0,1.0,10,17
2574,AH,6D,,,,,0.0,1.0,0.0,1.0,17,29
2575,3D,AC,,,,,1.0,1.0,1.0,0.0,11,12
2576,QS,6S,,,,,0.0,0.0,1.0,1.0,16,19
2577,KS,10H,,,,,1.0,0.0,0.0,1.0,30,11
2578,6C,7H,,,,,1.0,0.0,0.0,1.0,23,16
2579,QC,QD,,,,,1.0,0.0,0.0,1.0,29,17
2580,QS,7H,,,,,0.0,1.0,0.0,1.0,17,14
2581,3H,QH,,,,,0.0,0.0,1.0,1.0,13,18
2582,7D,6S,,,,,1.0,1.0,1.0,0.0,15,13
2583,7D,6S,2D,,,,0.0,0.0,1.0,1.0,15,19
2584,3D,QD,,,,,0.0,1.0,0.0,1.0,13,22
2585,6C,5C,,,,,1.0,1.0,1.0,0.0,20,11
2586,6C,5C,9C,,,,0.0,1.0,0.0,1.0,20,12
2587,3H,6H,,,,,0.0,0.0,1.0,1.0,9,20
2588,8H,2H,,,,,0.0,0.0,1.0,1.0,10,17
2589,9S,KC,,,,,0.0,1.0,0.0,1.0,19,10
2590,8S,5H,,,,,1.0,1.0,1.0,0.0,20,8
2591,8S,5H,7S,,,,0.0,0.0,1.0,1.0,20,21
2592,4H,5C,,,,,1.0,1.0,1.0,0.0,19,11
2593,4H,5C,10D,,,,1.0,0.0,0.0,1.0,28,21
2594,8S,4H,,,,,1.0,1.0,1.0,0.0,14,4
2595,8S,4H,2C,,,,1.0,1.0,1.0,0.0,19,4
2596,8S,4H,2C,5C,,,1.0,0.0,0.0,1.0,29,14
2597,KC,JC,,,,,0.0,1.0,0.0,1.0,20,14
2598,JC,KS,,,,,0.0,0.0,1.0,1.0,20,21
2599,AS,2S,,,,,0.0,1.0,0.0,1.0,13,27
2600,5S,5C,,,,,1.0,1.0,1.0,0.0,14,14
2601,5S,5C,4S,,,,1.0,0.0,0.0,1.0,24,14
2602,QC,10C,,,,,0.0,1.0,0.0,1.0,20,11
2603,2S,8H,,,,,1.0,1.0,1.0,0.0,14,20
2604,2S,8H,4S,,,,1.0,1.0,1.0,0.0,17,20
2605,2S,8H,4S,3C,,,0.0,0.0,1.0,1.0,17,20
2606,5H,2S,,,,,0.0,0.0,1.0,1.0,7,19
2607,QS,KS,,,,,0.0,1.0,0.0,1.0,20,11
2608,5D,10C,,,,,1.0,1.0,1.0,0.0,21,11
2609,2C,3D,,,,,0.0,0.0,1.0,1.0,5,19
2610,3C,QS,,,,,0.0,1.0,0.0,1.0,13,22
2611,5C,JH,,,,,1.0,0.0,0.0,1.0,25,15
2612,4D,2D,,,,,0.0,1.0,0.0,1.0,6,26
2613,2H,8H,,,,,1.0,1.0,1.0,0.0,13,7
2614,2H,8H,3S,,,,1.0,0.0,0.0,1.0,23,7
2615,5C,8H,,,,,1.0,1.0,1.0,0.0,16,19
2616,5C,8H,3H,,,,1.0,0.0,0.0,1.0,24,19
2617,8D,5H,,,,,0.0,1.0,0.0,1.0,13,22
2618,2D,3H,,,,,1.0,1.0,1.0,0.0,13,12
2619,2D,3H,8C,,,,1.0,0.0,0.0,1.0,23,12
2620,9C,QH,,,,,1.0,0.0,0.0,1.0,29,12
2621,4D,6C,,,,,1.0,1.0,1.0,0.0,15,6
2622,4D,6C,5D,,,,1.0,0.0,0.0,1.0,25,6
2623,JC,2S,,,,,0.0,0.0,1.0,1.0,12,14
2624,3H,QC,,,,,0.0,1.0,0.0,1.0,13,13
2625,3D,5H,,,,,1.0,1.0,1.0,0.0,15,20
2626,3D,5H,7C,,,,0.0,0.0,1.0,1.0,15,20
2627,9C,8C,,,,,1.0,0.0,0.0,1.0,25,20
2628,3H,QH,,,,,1.0,1.0,1.0,0.0,14,9
2629,3H,QH,AS,,,,1.0,0.0,0.0,1.0,24,19
2630,4C,3H,,,,,0.0,0.0,1.0,1.0,7,12
2631,QD,9C,,,,,1.0,0.0,0.0,1.0,28,13
2632,5C,JS,,,,,0.0,0.0,1.0,1.0,15,16
2633,5H,2D,,,,,1.0,1.0,1.0,0.0,17,12
2634,5H,2D,QD,,,,0.0,1.0,0.0,1.0,17,12
2635,9C,10C,,,,,0.0,1.0,0.0,1.0,19,17
2636,4H,3H,,,,,1.0,1.0,1.0,0.0,11,13
2637,4H,3H,4S,,,,1.0,1.0,1.0,0.0,21,13
2638,10C,JD,,,,,1.0,0.0,0.0,1.0,27,6
2639,3H,5C,,,,,0.0,0.0,1.0,1.0,8,14
2640,JS,9H,,,,,1.0,0.0,0.0,1.0,22,11
2641,7H,QD,,,,,1.0,0.0,0.0,1.0,24,14
2642,2D,JD,,,,,1.0,1.0,1.0,0.0,16,17
2643,2D,JD,4H,,,,1.0,1.0,1.0,0.0,19,17
2644,2D,JD,4H,3C,,,1.0,0.0,0.0,1.0,29,17
2645,3C,8C,,,,,1.0,1.0,1.0,0.0,15,19
2646,3C,8C,4H,,,,0.0,1.0,0.0,1.0,15,25
2647,9H,QS,,,,,0.0,0.0,1.0,1.0,19,20
2648,AC,4H,,,,,0.0,1.0,0.0,1.0,15,15
2649,8D,6D,,,,,1.0,1.0,1.0,0.0,17,17
2650,8D,6D,3H,,,,1.0,0.0,0.0,1.0,22,17
2651,9D,6C,,,,,0.0,0.0,1.0,1.0,15,17
2652,3H,4S,,,,,0.0,1.0,0.0,1.0,7,25
2653,8D,10C,,,,,1.0,0.0,0.0,1.0,28,10
2654,7C,7S,,,,,0.0,0.0,1.0,1.0,14,19
2655,AH,6S,,,,,0.0,0.0,1.0,1.0,17,18
2656,5S,6C,,,,,0.0,1.0,0.0,1.0,11,9
2657,5H,QS,,,,,1.0,1.0,1.0,0.0,19,10
2658,5H,QS,4H,,,,1.0,0.0,0.0,1.0,23,10
2659,JD,10C,,,,,1.0,0.0,0.0,1.0,26,16
2660,5C,3S,,,,,0.0,0.0,1.0,1.0,8,15
2661,2D,9C,,,,,1.0,1.0,1.0,0.0,18,11
2662,2D,9C,7C,,,,1.0,1.0,1.0,0.0,21,11
2663,9D,KD,,,,,1.0,1.0,1.0,0.0,20,12
2664,9D,KD,AC,,,,0.0,1.0,0.0,1.0,20,12
2665,8S,AS,,,,,1.0,1.0,1.0,0.0,19,14
2666,8S,AS,QS,,,,0.0,1.0,0.0,1.0,19,14
2667,4S,5C,,,,,1.0,1.0,1.0,0.0,17,13
2668,4S,5C,8C,,,,1.0,0.0,0.0,1.0,27,13
2669,2D,JH,,,,,1.0,0.0,0.0,1.0,22,16
2670,4H,6D,,,,,1.0,1.0,1.0,0.0,20,18
2671,4H,6D,QC,,,,1.0,0.0,0.0,1.0,30,18
2672,10H,4S,,,,,0.0,0.0,1.0,1.0,14,16
2673,JS,8D,,,,,0.0,1.0,0.0,1.0,18,25
2674,8D,2C,,,,,1.0,1.0,1.0,0.0,12,15
2675,8D,2C,2D,,,,1.0,0.0,0.0,1.0,22,15
2676,8H,2D,,,,,1.0,1.0,1.0,0.0,20,14
2677,8H,2D,QH,,,,1.0,0.0,0.0,1.0,23,14
2678,3D,3H,,,,,1.0,1.0,1.0,0.0,8,13
2679,3D,3H,2C,,,,0.0,0.0,1.0,1.0,8,13
2680,6D,7C,,,,,0.0,0.0,1.0,1.0,13,21
2681,JC,QH,,,,,1.0,0.0,0.0,1.0,29,11
2682,8D,9H,,,,,0.0,1.0,0.0,1.0,17,16
2683,3H,8C,,,,,0.0,1.0,0.0,1.0,11,23
2684,4H,AC,,,,,1.0,1.0,1.0,0.0,9,10
2685,4H,AC,4D,,,,1.0,1.0,1.0,0.0,18,10
2686,4H,AC,4D,9C,,,0.0,1.0,0.0,1.0,18,10
2687,2C,KD,,,,,0.0,1.0,0.0,1.0,12,25
2688,5D,QH,,,,,1.0,0.0,0.0,1.0,25,10
2689,8D,JS,,,,,1.0,1.0,1.0,0.0,21,20
2690,2S,10S,,,,,1.0,1.0,1.0,0.0,19,10
2691,2S,10S,7D,,,,0.0,0.0,1.0,1.0,19,20
2692,JC,2C,,,,,0.0,0.0,1.0,1.0,12,13
2693,QH,9H,,,,,1.0,0.0,0.0,1.0,29,7
2694,6C,4H,,,,,0.0,0.0,1.0,1.0,10,12
2695,5H,3D,,,,,1.0,1.0,1.0,0.0,18,17
2696,5H,3D,JS,,,,1.0,1.0,1.0,0.0,19,17
2697,5H,3D,JS,AC,,,1.0,1.0,1.0,0.0,20,17
2698,5H,3D,JS,AC,AD,,1.0,0.0,0.0,1.0,29,17
2699,10D,6C,,,,,0.0,0.0,1.0,1.0,16,21
2700,10S,10D,,,,,1.0,0.0,0.0,1.0,30,16
2701,10C,QC,,,,,0.0,1.0,0.0,1.0,20,20
2702,5S,10D,,,,,1.0,1.0,1.0,0.0,18,10
2703,5S,10D,3C,,,,1.0,0.0,0.0,1.0,28,10
2704,KD,JS,,,,,0.0,1.0,0.0,1.0,20,13
2705,5H,8S,,,,,0.0,1.0,0.0,1.0,13,23
2706,5S,8S,,,,,0.0,1.0,0.0,1.0,13,13
2707,JS,QH,,,,,1.0,0.0,0.0,1.0,25,20
2708,8C,QS,,,,,1.0,0.0,0.0,1.0,26,13
2709,3S,6C,,,,,1.0,1.0,1.0,0.0,13,20
2710,3S,6C,4D,,,,0.0,1.0,0.0,1.0,13,27
2711,3D,KC,,,,,1.0,1.0,1.0,0.0,20,5
2712,3D,KC,7H,,,,0.0,1.0,0.0,1.0,20,15
2713,5D,QD,,,,,1.0,0.0,0.0,1.0,22,11
2714,7C,7D,,,,,0.0,1.0,0.0,1.0,14,14
2715,KH,4S,,,,,1.0,1.0,1.0,0.0,19,11
2716,KH,4S,5D,,,,0.0,0.0,1.0,1.0,19,21
2717,8D,QS,,,,,0.0,0.0,1.0,1.0,18,20
2718,5S,AH,,,,,1.0,1.0,1.0,0.0,13,5
2719,5S,AH,7D,,,,1.0,0.0,0.0,1.0,22,15
2720,5D,6D,,,,,0.0,0.0,1.0,1.0,11,21
2721,5H,5S,,,,,1.0,1.0,1.0,0.0,20,18
2722,5H,5S,JD,,,,1.0,0.0,0.0,1.0,28,18
2723,6H,8D,,,,,0.0,0.0,1.0,1.0,14,20
2724,10H,4C,,,,,0.0,1.0,0.0,1.0,14,12
2725,10C,2S,,,,,1.0,1.0,1.0,0.0,13,14
2726,10C,2S,AD,,,,0.0,1.0,0.0,1.0,13,22
2727,7D,4H,,,,,1.0,1.0,1.0,0.0,19,8
2728,7D,4H,8S,,,,1.0,0.0,0.0,1.0,25,18
2729,8S,AH,,,,,0.0,1.0,0.0,1.0,19,17
2730,5S,7S,,,,,1.0,0.0,0.0,1.0,22,10
2731,JS,4D,,,,,1.0,0.0,0.0,1.0,24,16
2732,QD,8S,,,,,1.0,0.0,0.0,1.0,24,17
2733,JD,10H,,,,,1.0,0.0,0.0,1.0,23,4
2734,7S,9H,,,,,1.0,1.0,1.0,0.0,17,13
2735,7S,9H,AS,,,,0.0,0.0,1.0,1.0,17,21
2736,5S,3H,,,,,0.0,0.0,1.0,1.0,8,21
2737,AS,AH,,,,,0.0,1.0,0.0,1.0,12,23
2738,JS,10S,,,,,0.0,0.0,1.0,1.0,20,21
2739,6S,JC,,,,,0.0,0.0,1.0,1.0,16,19
2740,9C,QC,,,,,1.0,0.0,0.0,1.0,29,6
2741,KC,8S,,,,,0.0,0.0,1.0,1.0,18,20
2742,6S,9C,,,,,0.0,1.0,0.0,1.0,15,15
2743,KC,9C,,,,,0.0,0.0,1.0,1.0,19,21
2744,6S,5H,,,,,1.0,1.0,1.0,0.0,21,14
2745,5H,JD,,,,,1.0,0.0,0.0,1.0,25,15
2746,4C,8C,,,,,0.0,1.0,0.0,1.0,12,11
2747,QC,2H,,,,,0.0,0.0,1.0,1.0,12,15
2748,2C,10S,,,,,1.0,1.0,1.0,0.0,13,11
2749,2C,10S,AD,,,,1.0,1.0,1.0,0.0,18,11
2750,2C,10S,AD,5D,,,0.0,0.0,1.0,1.0,18,21
2751,10S,5D,,,,,0.0,1.0,0.0,1.0,15,11
2752,8D,QH,,,,,0.0,1.0,0.0,1.0,18,17
2753,JS,2D,,,,,1.0,1.0,1.0,0.0,17,10
2754,JS,2D,5C,,,,1.0,1.0,1.0,0.0,21,10
2755,JD,9D,,,,,1.0,0.0,0.0,1.0,29,20
2756,10C,9C,,,,,1.0,0.0,0.0,1.0,29,12
2757,7D,4C,,,,,0.0,1.0,0.0,1.0,11,25
2758,JC,9H,,,,,0.0,1.0,0.0,1.0,19,18
2759,QH,8C,,,,,0.0,1.0,0.0,1.0,18,26
2760,3D,6H,,,,,1.0,1.0,1.0,0.0,13,12
2761,3D,6H,4C,,,,0.0,1.0,0.0,1.0,13,12
2762,QD,8D,,,,,1.0,1.0,1.0,0.0,21,16
2763,KD,KC,,,,,0.0,1.0,0.0,1.0,20,14
2764,10H,8H,,,,,1.0,0.0,0.0,1.0,26,20
2765,7S,7D,,,,,1.0,0.0,0.0,1.0,24,18
2766,4S,JD,,,,,0.0,0.0,1.0,1.0,14,19
2767,9H,10C,,,,,1.0,0.0,0.0,1.0,25,11
2768,2C,AC,,,,,0.0,1.0,0.0,1.0,13,24
2769,6D,3C,,,,,0.0,1.0,0.0,1.0,9,26
2770,9C,JD,,,,,1.0,0.0,0.0,1.0,22,19
2771,8C,5S,,,,,1.0,0.0,0.0,1.0,23,8
2772,KC,5C,,,,,0.0,1.0,0.0,1.0,15,22
2773,7D,QS,,,,,1.0,0.0,0.0,1.0,23,20
2774,10C,2S,,,,,1.0,0.0,0.0,1.0,22,18
2775,8S,9D,,,,,1.0,0.0,0.0,1.0,27,19
2776,KS,KC,,,,,0.0,1.0,0.0,1.0,20,20
2777,8C,10H,,,,,0.0,1.0,0.0,1.0,18,23
2778,4S,AH,,,,,0.0,0.0,1.0,1.0,15,16
2779,AD,6C,,,,,0.0,1.0,0.0,1.0,17,12
2780,QC,2S,,,,,0.0,0.0,1.0,1.0,12,15
2781,6H,3D,,,,,0.0,0.0,1.0,1.0,9,20
2782,AC,7H,,,,,1.0,1.0,1.0,0.0,16,17
2783,AC,7H,8D,,,,0.0,0.0,1.0,1.0,16,17
2784,4S,JS,,,,,0.0,1.0,0.0,1.0,14,25
2785,10S,6S,,,,,1.0,0.0,0.0,1.0,26,20
2786,5D,QC,,,,,0.0,1.0,0.0,1.0,15,24
2787,6S,QC,,,,,1.0,0.0,0.0,1.0,26,14
2788,AS,7S,,,,,0.0,1.0,0.0,1.0,18,26
2789,3H,8H,,,,,1.0,1.0,1.0,0.0,13,8
2790,3H,8H,2D,,,,0.0,1.0,0.0,1.0,13,8
2791,6S,6H,,,,,0.0,1.0,0.0,1.0,12,24
2792,8H,6C,,,,,1.0,0.0,0.0,1.0,24,20
2793,9S,QS,,,,,1.0,0.0,0.0,1.0,29,13
2794,9C,2C,,,,,1.0,1.0,1.0,0.0,12,11
2795,9C,2C,AC,,,,0.0,0.0,1.0,1.0,12,21
2796,5D,3D,,,,,0.0,0.0,1.0,1.0,8,10
2797,3C,6S,,,,,0.0,0.0,1.0,1.0,9,10
2798,KS,QD,,,,,0.0,0.0,1.0,1.0,20,21
2799,2C,QH,,,,,0.0,1.0,0.0,1.0,12,25
2800,QC,10D,,,,,0.0,1.0,0.0,1.0,20,22
2801,5D,QD,,,,,1.0,1.0,1.0,0.0,17,7
2802,5D,QD,2D,,,,1.0,0.0,0.0,1.0,24,17
2803,10H,10S,,,,,0.0,1.0,0.0,1.0,20,15
2804,4S,5C,,,,,1.0,1.0,1.0,0.0,19,2
2805,4S,5C,KH,,,,0.0,1.0,0.0,1.0,19,14
2806,5H,QD,,,,,1.0,1.0,1.0,0.0,19,15
2807,5H,QD,4D,,,,1.0,0.0,0.0,1.0,28,15
2808,6D,KH,,,,,0.0,0.0,1.0,1.0,16,18
2809,5C,7H,,,,,0.0,1.0,0.0,1.0,12,5
2810,6S,7C,,,,,1.0,0.0,0.0,1.0,23,18
2811,QD,5D,,,,,0.0,1.0,0.0,1.0,15,27
2812,KD,3D,,,,,0.0,1.0,0.0,1.0,13,10
2813,QH,3D,,,,,0.0,1.0,0.0,1.0,13,12
2814,3S,4H,,,,,0.0,1.0,0.0,1.0,7,23
2815,QD,10C,,,,,1.0,0.0,0.0,1.0,28,7
2816,2S,AC,,,,,0.0,1.0,0.0,1.0,13,13
2817,2H,6H,,,,,0.0,1.0,0.0,1.0,8,24
2818,JD,10C,,,,,0.0,1.0,0.0,1.0,20,24
2819,7S,JD,,,,,1.0,0.0,0.0,1.0,27,11
2820,4D,3S,,,,,0.0,0.0,1.0,1.0,7,13
2821,5H,QH,,,,,1.0,0.0,0.0,1.0,23,20
2822,QH,3H,,,,,0.0,0.0,1.0,1.0,13,18
2823,JS,8S,,,,,1.0,0.0,0.0,1.0,25,17
2824,7H,8S,,,,,1.0,0.0,0.0,1.0,25,21
2825,AS,3C,,,,,1.0,1.0,1.0,0.0,12,20
2826,AS,3C,8H,,,,1.0,1.0,1.0,0.0,16,20
2827,AS,3C,8H,4C,,,0.0,1.0,0.0,1.0,16,24
2828,KD,8D,,,,,1.0,1.0,1.0,0.0,21,7
2829,10S,QS,,,,,0.0,1.0,0.0,1.0,20,14
2830,2S,AC,,,,,1.0,1.0,1.0,0.0,8,13
2831,2S,AC,5H,,,,0.0,1.0,0.0,1.0,18,13
2832,QS,4D,,,,,1.0,1.0,1.0,0.0,15,7
2833,QS,4D,AS,,,,1.0,0.0,0.0,1.0,23,17
2834,JC,QD,,,,,1.0,0.0,0.0,1.0,22,8
2835,3D,6H,,,,,1.0,1.0,1.0,0.0,16,6
2836,3D,6H,7S,,,,0.0,1.0,0.0,1.0,16,6
2837,2H,4H,,,,,0.0,0.0,1.0,1.0,6,15
2838,4S,3C,,,,,1.0,1.0,1.0,0.0,17,12
2839,4S,3C,QH,,,,1.0,0.0,0.0,1.0,27,12
2840,7S,4C,,,,,1.0,1.0,1.0,0.0,12,10
2841,7S,4C,AD,,,,0.0,1.0,0.0,1.0,12,10
2842,QD,8C,,,,,0.0,1.0,0.0,1.0,18,16
2843,3D,5S,,,,,0.0,0.0,1.0,1.0,8,14
2844,QH,8D,,,,,0.0,1.0,0.0,1.0,18,12
2845,9D,9S,,,,,0.0,1.0,0.0,1.0,18,17
2846,AD,8D,,,,,1.0,1.0,1.0,0.0,19,7
2847,AD,8D,10C,,,,1.0,0.0,0.0,1.0,29,7
2848,3S,5H,,,,,1.0,1.0,1.0,0.0,18,12
2849,3S,5H,10D,,,,0.0,1.0,0.0,1.0,18,12
2850,AC,9D,,,,,1.0,1.0,1.0,0.0,20,18
2851,AC,9D,JS,,,,0.0,1.0,0.0,1.0,20,18
2852,7D,5H,,,,,0.0,1.0,0.0,1.0,12,30
2853,9S,3D,,,,,1.0,1.0,1.0,0.0,19,11
2854,9S,3D,7D,,,,0.0,0.0,1.0,1.0,19,21
2855,KC,3C,,,,,1.0,1.0,1.0,0.0,14,20
2856,KC,3C,AC,,,,0.0,1.0,0.0,1.0,14,28
2857,JD,5H,,,,,1.0,0.0,0.0,1.0,25,13
2858,AD,8S,,,,,0.0,1.0,0.0,1.0,19,12
2859,8D,KS,,,,,1.0,0.0,0.0,1.0,27,17
2860,8D,2S,,,,,0.0,1.0,0.0,1.0,10,25
2861,4D,4C,,,,,1.0,1.0,1.0,0.0,17,11
2862,4D,4C,9H,,,,1.0,0.0,0.0,1.0,23,11
2863,KC,9H,,,,,1.0,0.0,0.0,1.0,26,8
2864,6S,7C,,,,,0.0,0.0,1.0,1.0,13,18
2865,8S,2C,,,,,1.0,1.0,1.0,0.0,16,16
2866,8S,2C,6C,,,,0.0,1.0,0.0,1.0,16,16
2867,4D,6D,,,,,0.0,0.0,1.0,1.0,10,13
2868,7D,9C,,,,,0.0,1.0,0.0,1.0,16,27
2869,4H,JS,,,,,0.0,0.0,1.0,1.0,14,21
2870,6H,9S,,,,,0.0,1.0,0.0,1.0,15,23
2871,2S,5S,,,,,1.0,1.0,1.0,0.0,17,9
2872,2S,5S,10D,,,,0.0,1.0,0.0,1.0,17,9
2873,5H,8D,,,,,0.0,0.0,1.0,1.0,13,21
2874,10C,8H,,,,,1.0,0.0,0.0,1.0,22,8
2875,8C,7S,,,,,0.0,1.0,0.0,1.0,15,8
2876,3S,JD,,,,,1.0,0.0,0.0,1.0,23,11
2877,AD,4S,,,,,0.0,1.0,0.0,1.0,15,22
2878,9C,10D,,,,,0.0,1.0,0.0,1.0,19,24
2879,10D,10H,,,,,1.0,0.0,0.0,1.0,30,14
2880,9D,2S,,,,,0.0,0.0,1.0,1.0,11,15
2881,3C,KH,,,,,0.0,0.0,1.0,1.0,13,16
2882,9S,3H,,,,,1.0,1.0,1.0,0.0,15,11
2883,9S,3H,3S,,,,1.0,0.0,0.0,1.0,25,21
2884,2H,6S,,,,,0.0,1.0,0.0,1.0,8,23
2885,5S,5C,,,,,0.0,0.0,1.0,1.0,10,13
2886,QC,8H,,,,,1.0,0.0,0.0,1.0,23,13
2887,6H,5H,,,,,0.0,1.0,0.0,1.0,11,27
2888,AS,AC,,,,,0.0,0.0,1.0,1.0,12,19
2889,10C,QD,,,,,0.0,1.0,0.0,1.0,20,23
2890,8H,KH,,,,,0.0,1.0,0.0,1.0,18,22
2891,KC,KD,,,,,1.0,0.0,0.0,1.0,30,17
2892,5S,3D,,,,,0.0,0.0,1.0,1.0,8,15
2893,JH,9D,,,,,1.0,0.0,0.0,1.0,23,13
2894,2H,QD,,,,,0.0,1.0,0.0,1.0,12,10
2895,QS,10D,,,,,0.0,1.0,0.0,1.0,20,22
2896,JH,5C,,,,,1.0,1.0,1.0,0.0,16,13
2897,JH,5C,AS,,,,1.0,0.0,0.0,1.0,25,13
2898,6D,QS,,,,,0.0,0.0,1.0,1.0,16,20
2899,JC,9D,,,,,1.0,0.0,0.0,1.0,29,9
2900,3S,KC,,,,,1.0,1.0,1.0,0.0,19,15
2901,3S,KC,6S,,,,1.0,0.0,0.0,1.0,24,15
2902,QC,8D,,,,,0.0,1.0,0.0,1.0,18,13
2903,7D,4H,,,,,1.0,1.0,1.0,0.0,21,9
2904,AD,3H,,,,,1.0,1.0,1.0,0.0,13,14
2905,AD,3H,9S,,,,0.0,0.0,1.0,1.0,13,14
2906,3H,KC,,,,,0.0,1.0,0.0,1.0,13,22
2907,JS,2D,,,,,0.0,0.0,1.0,1.0,12,15
2908,6H,JH,,,,,0.0,1.0,0.0,1.0,16,23
2909,3H,JC,,,,,0.0,1.0,0.0,1.0,13,24
2910,QH,JC,,,,,0.0,0.0,1.0,1.0,20,21
2911,QC,9C,,,,,1.0,1.0,1.0,0.0,21,11
2912,KS,5H,,,,,1.0,1.0,1.0,0.0,19,11
2913,KS,5H,4H,,,,1.0,0.0,0.0,1.0,28,21
2914,4S,9C,,,,,0.0,1.0,0.0,1.0,13,13
2915,7H,9D,,,,,0.0,1.0,0.0,1.0,16,23
2916,4D,AC,,,,,1.0,1.0,1.0,0.0,12,16
2917,4D,AC,7S,,,,1.0,1.0,1.0,0.0,17,16
2918,4D,AC,7S,5C,,,1.0,1.0,1.0,0.0,20,16
2919,4D,AC,7S,5C,3H,,1.0,0.0,0.0,1.0,23,16
2920,AD,5C,,,,,0.0,1.0,0.0,1.0,16,27
2921,2S,7H,,,,,1.0,1.0,1.0,0.0,15,18
2922,2S,7H,6S,,,,1.0,1.0,1.0,0.0,19,18
2923,2S,7H,6S,4D,,,1.0,1.0,1.0,0.0,21,18
2924,4S,9D,,,,,0.0,0.0,1.0,1.0,13,16
2925,KS,JD,,,,,1.0,0.0,0.0,1.0,23,13
2926,5S,QS,,,,,1.0,0.0,0.0,1.0,25,15
2927,3D,AC,,,,,1.0,1.0,1.0,0.0,14,12
2928,3D,AC,QC,,,,0.0,1.0,0.0,1.0,14,12
2929,9H,JD,,,,,0.0,0.0,1.0,1.0,19,21
2930,KH,QS,,,,,1.0,0.0,0.0,1.0,29,11
2931,9D,AC,,,,,0.0,1.0,0.0,1.0,20,19
2932,QC,4H,,,,,0.0,1.0,0.0,1.0,14,7
2933,8S,KD,,,,,1.0,0.0,0.0,1.0,28,7
2934,2D,4D,,,,,0.0,0.0,1.0,1.0,6,18
2935,8C,JD,,,,,0.0,1.0,0.0,1.0,18,22
2936,3S,JD,,,,,1.0,1.0,1.0,0.0,20,9
2937,3S,JD,7C,,,,1.0,0.0,0.0,1.0,30,19
2938,JS,9S,,,,,1.0,0.0,0.0,1.0,29,8
2939,7H,KH,,,,,1.0,0.0,0.0,1.0,23,19
2940,AD,2C,,,,,1.0,1.0,1.0,0.0,9,19
2941,AD,2C,6D,,,,1.0,1.0,1.0,0.0,10,19
2942,AD,2C,6D,AC,,,0.0,1.0,0.0,1.0,20,19
2943,3C,10S,,,,,0.0,1.0,0.0,1.0,13,27
2944,9D,7D,,,,,0.0,1.0,0.0,1.0,16,14
2945,7C,8D,,,,,1.0,0.0,0.0,1.0,25,19
2946,4C,2C,,,,,1.0,1.0,1.0,0.0,10,12
2947,4C,2C,4D,,,,0.0,0.0,1.0,1.0,10,12
2948,2S,AC,,,,,0.0,0.0,1.0,1.0,13,17
2949,QS,3S,,,,,0.0,0.0,1.0,1.0,13,17
2950,AH,2S,,,,,1.0,1.0,1.0,0.0,12,14
