,Card0,Card1,Card2,Card3,Card4,Card5,H/S,W/L,Answer,Final,P_Score,D_Score
2560,7D,3H,,,,,1.0,1.0,1.0,0.0,16,14
2561,7D,3H,6S,,,,1.0,1.0,1.0,0.0,21,14
2562,4S,AC,,,,,1.0,1.0,1.0,0.0,15,20
2563,4S,AC,QD,,,,0.0,0.0,1.0,1.0,15,20
2564,8D,2H,,,,,0.0,0.0,1.0,1.0,10,16
2565,AS,3C,,,,,0.0,0.0,1.0,1.0,14,15
2566,8D,5H,,,,,0.0,0.0,1.0,1.0,13,18
2567,9S,7H,,,,,0.0,0.0,1.0,1.0,16,17
2568,7D,AS,,,,,1.0,1.0,1.0,0.0,13,15
2569,7D,AS,5C,,,,1.0,1.0,1.0,0.0,14,15
2570,7D,AS,5C,AC,,,0.0,0.0,1.0,1.0,14,15
2571,6D,QH,,,,,1.0,1.0,1.0,0.0,19,10
2572,6D,QH,3C,,,,0.0,0.0,1.0,1.0,19,20
2573,4C,7C,,,,,0.0,0.0,1.0,1.0,11,17
2574,7H,6C,,,,,1.0,1.0,1.0,0.0,21,4
2575,3C,AH,,,,,1.0,1.0,1.0,0.0,11,17
2576,KD,8D,,,,,0.0,1.0,0.0,1.0,18,28
2577,4H,2C,,,,,0.0,0.0,1.0,1.0,6,15
2578,KH,8D,,,,,0.0,0.0,1.0,1.0,18,21
2579,7H,3D,,,,,0.0,0.0,1.0,1.0,10,16
2580,3S,9H,,,,,0.0,0.0,1.0,1.0,12,18
2581,AD,4S,,,,,0.0,0.0,1.0,1.0,15,18
2582,AD,3D,,,,,0.0,0.0,1.0,1.0,14,15
2583,QH,QD,,,,,0.0,1.0,0.0,1.0,20,28
2584,9C,KD,,,,,1.0,0.0,0.0,1.0,29,13
2585,10H,4D,,,,,1.0,1.0,1.0,0.0,17,13
2586,10H,4D,3C,,,,1.0,0.0,0.0,1.0,22,13
2587,QS,8D,,,,,0.0,0.0,1.0,1.0,18,19
2588,5S,10C,,,,,1.0,0.0,0.0,1.0,25,14
2589,5C,AS,,,,,0.0,1.0,0.0,1.0,16,22
2590,QC,9H,,,,,0.0,1.0,0.0,1.0,19,22
2591,8S,KC,,,,,1.0,1.0,1.0,0.0,20,14
2592,8S,KC,2H,,,,0.0,1.0,0.0,1.0,20,26
2593,AH,3S,,,,,0.0,0.0,1.0,1.0,14,20
2594,10S,9C,,,,,0.0,1.0,0.0,1.0,19,28
2595,3C,KC,,,,,1.0,0.0,0.0,1.0,23,12
2596,7C,6D,,,,,0.0,0.0,1.0,1.0,13,15
2597,6H,JC,,,,,0.0,0.0,1.0,1.0,16,21
2598,5S,JS,,,,,1.0,1.0,1.0,0.0,19,19
2599,5S,JS,4S,,,,0.0,0.0,1.0,1.0,19,20
2600,AD,5H,,,,,0.0,1.0,0.0,1.0,16,24
2601,QS,3D,,,,,0.0,0.0,1.0,1.0,13,15
2602,3C,5H,,,,,0.0,0.0,1.0,1.0,8,11
2603,QH,9S,,,,,0.0,1.0,0.0,1.0,19,22
2604,3S,9D,,,,,1.0,0.0,0.0,1.0,22,16
2605,4C,4D,,,,,1.0,1.0,1.0,0.0,14,18
2606,4C,4D,6D,,,,0.0,0.0,1.0,1.0,14,18
2607,9C,10H,,,,,1.0,0.0,0.0,1.0,22,7
2608,7C,3S,,,,,0.0,0.0,1.0,1.0,10,18
2609,7S,QH,,,,,0.0,0.0,1.0,1.0,17,19
2610,JD,7D,,,,,1.0,0.0,0.0,1.0,27,15
2611,KC,KH,,,,,0.0,1.0,0.0,1.0,20,23
2612,2D,KS,,,,,0.0,0.0,1.0,1.0,12,14
2613,JC,5H,,,,,1.0,0.0,0.0,1.0,22,20
2614,10D,4C,,,,,0.0,0.0,1.0,1.0,14,20
2615,2C,AD,,,,,0.0,0.0,1.0,1.0,13,16
2616,9C,QD,,,,,0.0,0.0,1.0,1.0,19,20
2617,10S,3S,,,,,0.0,0.0,1.0,1.0,13,21
2618,AD,8S,,,,,0.0,0.0,1.0,1.0,19,20
2619,7H,5H,,,,,0.0,1.0,0.0,1.0,12,22
2620,4S,4C,,,,,0.0,0.0,1.0,1.0,8,16
2621,10H,JH,,,,,0.0,1.0,0.0,1.0,20,24
2622,QS,7H,,,,,1.0,0.0,0.0,1.0,27,20
2623,6C,6S,,,,,1.0,1.0,1.0,0.0,13,15
2624,6C,6S,AD,,,,0.0,0.0,1.0,1.0,13,15
2625,KC,JD,,,,,0.0,1.0,0.0,1.0,20,26
2626,4C,10C,,,,,0.0,0.0,1.0,1.0,14,17
2627,4D,6D,,,,,0.0,0.0,1.0,1.0,10,16
2628,JH,KS,,,,,1.0,0.0,0.0,1.0,22,19
2629,4H,JS,,,,,1.0,0.0,0.0,1.0,24,15
2630,6D,KC,,,,,1.0,0.0,0.0,1.0,26,20
2631,KC,3C,,,,,0.0,0.0,1.0,1.0,13,20
2632,KD,JD,,,,,1.0,0.0,0.0,1.0,30,10
2633,9C,4S,,,,,1.0,0.0,0.0,1.0,22,6
2634,3D,8S,,,,,0.0,0.0,1.0,1.0,11,14
2635,10S,KS,,,,,1.0,0.0,0.0,1.0,29,9
2636,6C,3H,,,,,1.0,1.0,1.0,0.0,15,9
2637,6C,3H,6H,,,,1.0,0.0,0.0,1.0,23,9
2638,2S,6S,,,,,1.0,1.0,1.0,0.0,18,5
2639,2S,6S,10D,,,,1.0,0.0,0.0,1.0,25,15
2640,8S,10D,,,,,1.0,0.0,0.0,1.0,24,14
2641,JH,5H,,,,,0.0,0.0,1.0,1.0,15,16
2642,3D,4S,,,,,0.0,0.0,1.0,1.0,7,20
2643,2S,10C,,,,,1.0,0.0,0.0,1.0,22,18
2644,8H,10S,,,,,0.0,0.0,1.0,1.0,18,21
2645,KD,4S,,,,,0.0,0.0,1.0,1.0,14,20
2646,5S,KS,,,,,1.0,0.0,0.0,1.0,22,15
2647,6S,5S,,,,,0.0,0.0,1.0,1.0,11,14
2648,7H,10H,,,,,1.0,1.0,1.0,0.0,21,4
2649,7C,QH,,,,,0.0,0.0,1.0,1.0,17,18
2650,JD,KH,,,,,1.0,0.0,0.0,1.0,26,8
2651,2S,3D,,,,,1.0,1.0,1.0,0.0,14,15
2652,2S,3D,9H,,,,0.0,0.0,1.0,1.0,14,15
2653,4D,3D,,,,,1.0,1.0,1.0,0.0,10,16
2654,4D,3D,3S,,,,0.0,0.0,1.0,1.0,10,16
2655,QC,8D,,,,,0.0,0.0,1.0,1.0,18,20
2656,9S,8D,,,,,1.0,0.0,0.0,1.0,23,11
2657,JH,3H,,,,,0.0,0.0,1.0,1.0,13,19
2658,AC,8D,,,,,0.0,0.0,1.0,1.0,19,20
2659,9D,3H,,,,,0.0,0.0,1.0,1.0,12,20
2660,AD,2C,,,,,0.0,0.0,1.0,1.0,13,18
2661,5S,5D,,,,,1.0,1.0,1.0,0.0,13,7
2662,5S,5D,3D,,,,1.0,1.0,1.0,0.0,14,7
2663,5S,5D,3D,AH,,,0.0,0.0,1.0,1.0,14,19
2664,10C,3C,,,,,0.0,0.0,1.0,1.0,13,20
2665,AC,2H,,,,,1.0,1.0,1.0,0.0,6,15
2666,AC,2H,3S,,,,0.0,0.0,1.0,1.0,16,20
2667,6D,5C,,,,,1.0,1.0,1.0,0.0,21,13
2668,3S,6H,,,,,0.0,0.0,1.0,1.0,9,20
2669,QH,JH,,,,,1.0,0.0,0.0,1.0,28,9
2670,JS,8D,,,,,0.0,0.0,1.0,1.0,18,20
2671,10H,2S,,,,,1.0,0.0,0.0,1.0,22,11
2672,QD,6H,,,,,1.0,0.0,0.0,1.0,24,15
2673,2S,5S,,,,,0.0,0.0,1.0,1.0,7,17
2674,5H,JC,,,,,0.0,0.0,1.0,1.0,15,19
2675,QH,9D,,,,,1.0,0.0,0.0,1.0,29,16
2676,9S,2D,,,,,0.0,0.0,1.0,1.0,11,20
2677,AS,2C,,,,,0.0,0.0,1.0,1.0,13,14
2678,9S,10D,,,,,0.0,0.0,1.0,1.0,19,21
2679,9C,QC,,,,,0.0,0.0,1.0,1.0,19,20
2680,9H,5D,,,,,1.0,1.0,1.0,0.0,18,9
2681,9H,5D,4C,,,,0.0,0.0,1.0,1.0,18,19
2682,QD,9H,,,,,0.0,1.0,0.0,1.0,19,27
2683,5H,8H,,,,,1.0,1.0,1.0,0.0,16,8
2684,5H,8H,3H,,,,0.0,0.0,1.0,1.0,16,18
2685,4D,7C,,,,,1.0,1.0,1.0,0.0,14,7
2686,4D,7C,3S,,,,0.0,0.0,1.0,1.0,14,18
2687,KC,JS,,,,,1.0,0.0,0.0,1.0,30,5
2688,8C,3S,,,,,0.0,0.0,1.0,1.0,11,19
2689,5C,8H,,,,,0.0,0.0,1.0,1.0,13,18
2690,7H,4H,,,,,0.0,0.0,1.0,1.0,11,18
2691,6H,KC,,,,,1.0,0.0,0.0,1.0,24,21
2692,8D,4D,,,,,0.0,0.0,1.0,1.0,12,20
2693,9S,AH,,,,,0.0,1.0,0.0,1.0,20,29
2694,8S,7C,,,,,0.0,0.0,1.0,1.0,15,20
2695,10H,JD,,,,,1.0,0.0,0.0,1.0,30,14
2696,10D,JS,,,,,0.0,1.0,0.0,1.0,20,24
2697,KD,4H,,,,,0.0,0.0,1.0,1.0,14,21
2698,9D,9C,,,,,1.0,0.0,0.0,1.0,28,18
2699,KC,5C,,,,,0.0,0.0,1.0,1.0,15,16
2700,8H,6D,,,,,0.0,1.0,0.0,1.0,14,24
2701,8D,QH,,,,,1.0,0.0,0.0,1.0,24,12
2702,8D,QH,,,,,1.0,1.0,1.0,0.0,19,8
2703,8D,QH,AS,,,,0.0,1.0,0.0,1.0,19,22
2704,6D,3S,,,,,0.0,0.0,1.0,1.0,9,13
2705,KD,7C,,,,,0.0,0.0,1.0,1.0,17,18
2706,AD,4C,,,,,1.0,1.0,1.0,0.0,15,20
2707,AD,4C,KH,,,,1.0,1.0,1.0,0.0,21,20
2708,KD,7C,,,,,1.0,0.0,0.0,1.0,26,12
2709,2H,2C,,,,,0.0,0.0,1.0,1.0,4,20
2710,AC,7S,,,,,0.0,0.0,1.0,1.0,18,20
2711,5H,8S,,,,,1.0,0.0,0.0,1.0,23,7
2712,9H,4H,,,,,1.0,1.0,1.0,0.0,16,3
2713,9H,4H,3C,,,,1.0,0.0,0.0,1.0,22,13
2714,7H,KD,,,,,0.0,0.0,1.0,1.0,17,19
2715,KH,QD,,,,,0.0,1.0,0.0,1.0,20,27
2716,8H,9D,,,,,1.0,0.0,0.0,1.0,27,12
2717,3H,QD,,,,,1.0,1.0,1.0,0.0,21,14
2718,6C,QC,,,,,1.0,0.0,0.0,1.0,26,13
2719,AD,6H,,,,,0.0,0.0,1.0,1.0,17,21
2720,KC,2C,,,,,0.0,0.0,1.0,1.0,12,17
2721,QD,10S,,,,,0.0,1.0,0.0,1.0,20,30
2722,4H,5H,,,,,1.0,1.0,1.0,0.0,10,7
2723,4H,5H,AD,,,,0.0,1.0,0.0,1.0,20,27
2724,2D,4S,,,,,1.0,1.0,1.0,0.0,16,8
2725,2D,4S,JC,,,,1.0,1.0,1.0,0.0,18,8
2726,2D,4S,JC,2C,,,1.0,0.0,0.0,1.0,25,8
2727,6D,4C,,,,,1.0,1.0,1.0,0.0,17,13
2728,6D,4C,7S,,,,1.0,0.0,0.0,1.0,22,13
2729,QD,7D,,,,,1.0,0.0,0.0,1.0,27,10
2730,KH,9C,,,,,0.0,1.0,0.0,1.0,19,28
2731,2C,8S,,,,,1.0,1.0,1.0,0.0,11,16
2732,7S,9H,,,,,0.0,0.0,1.0,1.0,16,20
2733,8C,8H,,,,,1.0,0.0,0.0,1.0,23,19
2734,5S,AH,,,,,1.0,1.0,1.0,0.0,16,11
2735,5S,AH,10H,,,,1.0,1.0,1.0,0.0,21,11
2736,KH,10H,,,,,1.0,0.0,0.0,1.0,24,10
2737,JC,8D,,,,,1.0,0.0,0.0,1.0,28,15
2738,8S,5S,,,,,0.0,0.0,1.0,1.0,13,20
2739,4S,4D,,,,,1.0,1.0,1.0,0.0,13,10
2740,4S,4D,5S,,,,1.0,0.0,0.0,1.0,23,20
2741,4C,QC,,,,,1.0,0.0,0.0,1.0,24,12
2742,4D,KD,,,,,1.0,0.0,0.0,1.0,24,11
2743,6S,2S,,,,,1.0,1.0,1.0,0.0,14,17
2744,6S,2S,6C,,,,0.0,0.0,1.0,1.0,14,17
2745,4C,10D,,,,,1.0,0.0,0.0,1.0,24,16
2746,7S,JC,,,,,0.0,0.0,1.0,1.0,17,19
2747,7C,KD,,,,,0.0,0.0,1.0,1.0,17,19
2748,9S,QC,,,,,0.0,1.0,0.0,1.0,19,24
2749,AH,7C,,,,,0.0,1.0,0.0,1.0,18,23
2750,JC,9D,,,,,0.0,0.0,1.0,1.0,19,20
2751,7H,7C,,,,,1.0,0.0,0.0,1.0,23,15
2752,9D,QH,,,,,1.0,0.0,0.0,1.0,25,14
2753,8H,4C,,,,,0.0,0.0,1.0,1.0,12,20
2754,2D,10C,,,,,1.0,1.0,1.0,0.0,13,8
2755,2D,10C,AD,,,,0.0,0.0,1.0,1.0,13,14
2756,6C,7D,,,,,0.0,0.0,1.0,1.0,13,17
2757,QC,10C,,,,,0.0,0.0,1.0,1.0,20,21
2758,8S,KH,,,,,0.0,1.0,0.0,1.0,18,27
2759,AH,AD,,,,,1.0,1.0,1.0,0.0,4,20
2760,AH,AD,2S,,,,0.0,0.0,1.0,1.0,14,20
2761,8H,6S,,,,,1.0,0.0,0.0,1.0,23,11
2762,3C,8S,,,,,0.0,0.0,1.0,1.0,11,17
2763,6H,2S,,,,,0.0,0.0,1.0,1.0,8,13
2764,JH,2D,,,,,0.0,0.0,1.0,1.0,12,18
2765,9D,QS,,,,,1.0,1.0,1.0,0.0,20,14
2766,9D,QS,AS,,,,0.0,1.0,0.0,1.0,20,24
2767,QD,3H,,,,,0.0,0.0,1.0,1.0,13,21
2768,4D,9H,,,,,1.0,1.0,1.0,0.0,15,6
2769,4D,9H,2C,,,,1.0,0.0,0.0,1.0,24,16
2770,5H,4C,,,,,1.0,1.0,1.0,0.0,19,20
2771,5H,4C,10H,,,,1.0,0.0,0.0,1.0,22,20
2772,8D,2H,,,,,0.0,0.0,1.0,1.0,10,21
2773,4S,JC,,,,,0.0,0.0,1.0,1.0,14,16
2774,10D,5D,,,,,1.0,1.0,1.0,0.0,17,12
2775,10D,5D,2D,,,,1.0,0.0,0.0,1.0,25,12
2776,KH,4S,,,,,1.0,0.0,0.0,1.0,24,7
2777,2D,9C,,,,,1.0,1.0,1.0,0.0,21,2
2778,QC,9S,,,,,1.0,0.0,0.0,1.0,29,21
2779,6D,2H,,,,,1.0,1.0,1.0,0.0,18,14
2780,6D,2H,JD,,,,1.0,0.0,0.0,1.0,23,14
2781,4C,6C,,,,,1.0,1.0,1.0,0.0,18,14
2782,4C,6C,8D,,,,0.0,1.0,0.0,1.0,18,24
2783,7H,2S,,,,,0.0,0.0,1.0,1.0,9,20
2784,4C,5S,,,,,1.0,1.0,1.0,0.0,18,11
2785,4C,5S,9S,,,,1.0,0.0,0.0,1.0,26,11
2786,QH,6H,,,,,0.0,0.0,1.0,1.0,16,18
2787,AD,8D,,,,,0.0,0.0,1.0,1.0,19,21
2788,JC,QH,,,,,1.0,0.0,0.0,1.0,28,13
2789,QC,QD,,,,,0.0,1.0,0.0,1.0,20,25
2790,4H,6H,,,,,1.0,1.0,1.0,0.0,15,19
2791,4H,6H,5C,,,,1.0,1.0,1.0,0.0,18,19
2792,4H,6H,5C,3H,,,0.0,0.0,1.0,1.0,18,19
2793,KS,10C,,,,,0.0,1.0,0.0,1.0,20,24
2794,4C,6S,,,,,1.0,1.0,1.0,0.0,19,3
2795,4C,6S,9C,,,,1.0,0.0,0.0,1.0,27,13
2796,8H,3C,,,,,1.0,1.0,1.0,0.0,15,15
2797,8H,3C,4D,,,,0.0,0.0,1.0,1.0,15,18
2798,4S,JC,,,,,0.0,0.0,1.0,1.0,14,17
2799,9H,6C,,,,,0.0,1.0,0.0,1.0,15,23
2800,KH,KS,,,,,1.0,0.0,0.0,1.0,24,13
2801,5H,KD,,,,,1.0,0.0,0.0,1.0,25,16
2802,AD,7S,,,,,0.0,0.0,1.0,1.0,18,20
2803,AC,7S,,,,,0.0,1.0,0.0,1.0,18,22
2804,JC,9C,,,,,0.0,1.0,0.0,1.0,19,22
2805,7C,7H,,,,,0.0,0.0,1.0,1.0,14,20
2806,4D,AD,,,,,1.0,1.0,1.0,0.0,13,20
2807,4D,AD,8D,,,,0.0,0.0,1.0,1.0,13,20
2808,5S,6C,,,,,1.0,1.0,1.0,0.0,21,6
2809,2S,QD,,,,,0.0,0.0,1.0,1.0,12,13
2810,6S,QC,,,,,1.0,0.0,0.0,1.0,26,21
2811,8H,10D,,,,,1.0,0.0,0.0,1.0,28,16
2812,8H,KS,,,,,1.0,1.0,1.0,0.0,19,5
2813,8H,KS,AS,,,,0.0,1.0,0.0,1.0,19,25
2814,QD,9D,,,,,1.0,0.0,0.0,1.0,26,10
2815,7D,QC,,,,,0.0,1.0,0.0,1.0,17,23
2816,6S,KD,,,,,1.0,1.0,1.0,0.0,21,9
2817,7H,6D,,,,,1.0,1.0,1.0,0.0,18,17
2818,7H,6D,5C,,,,0.0,1.0,0.0,1.0,18,25
2819,4C,6H,,,,,1.0,1.0,1.0,0.0,13,19
2820,4C,6H,3C,,,,0.0,0.0,1.0,1.0,13,19
2821,AC,7S,,,,,0.0,1.0,0.0,1.0,18,22
2822,7S,7C,,,,,0.0,1.0,0.0,1.0,14,23
2823,7C,2D,,,,,1.0,1.0,1.0,0.0,10,19
2824,7C,2D,AS,,,,0.0,1.0,0.0,1.0,20,27
2825,4D,JH,,,,,1.0,0.0,0.0,1.0,24,13
2826,4S,5C,,,,,0.0,0.0,1.0,1.0,9,14
2827,8D,5S,,,,,1.0,1.0,1.0,0.0,18,19
2828,8D,5S,5D,,,,1.0,0.0,0.0,1.0,26,19
2829,6D,7H,,,,,0.0,0.0,1.0,1.0,13,17
2830,6S,KC,,,,,0.0,0.0,1.0,1.0,16,20
2831,5D,3D,,,,,0.0,0.0,1.0,1.0,8,16
2832,4D,5D,,,,,1.0,1.0,1.0,0.0,19,18
2833,4D,5D,10H,,,,0.0,1.0,0.0,1.0,19,26
2834,KC,3D,,,,,1.0,0.0,0.0,1.0,23,5
2835,8H,2C,,,,,0.0,0.0,1.0,1.0,10,15
2836,8D,2S,,,,,0.0,0.0,1.0,1.0,10,14
2837,AS,7H,,,,,1.0,1.0,1.0,0.0,18,14
2838,AS,7H,QS,,,,0.0,1.0,0.0,1.0,18,27
2839,10H,KH,,,,,0.0,1.0,0.0,1.0,20,22
2840,JC,JH,,,,,0.0,1.0,0.0,1.0,20,22
2841,KC,JC,,,,,1.0,0.0,0.0,1.0,28,17
2842,AS,7S,,,,,0.0,0.0,1.0,1.0,18,21
2843,QS,10H,,,,,1.0,0.0,0.0,1.0,28,18
2844,AD,6S,,,,,0.0,0.0,1.0,1.0,17,19
2845,2S,KD,,,,,1.0,1.0,1.0,0.0,13,5
2846,2S,KD,AD,,,,0.0,0.0,1.0,1.0,13,18
2847,9H,JS,,,,,0.0,1.0,0.0,1.0,19,24
2848,6C,8H,,,,,0.0,0.0,1.0,1.0,14,20
2849,2C,AS,,,,,1.0,1.0,1.0,0.0,5,15
2850,2C,AS,2D,,,,0.0,0.0,1.0,1.0,15,16
2851,6D,7D,,,,,1.0,0.0,0.0,1.0,23,18
2852,7D,8S,,,,,1.0,1.0,1.0,0.0,17,19
2853,7D,8S,2S,,,,1.0,0.0,0.0,1.0,23,19
2854,7S,5D,,,,,0.0,0.0,1.0,1.0,12,15
2855,7C,KC,,,,,0.0,0.0,1.0,1.0,17,18
2856,2H,9S,,,,,0.0,0.0,1.0,1.0,11,20
2857,QH,6S,,,,,0.0,0.0,1.0,1.0,16,21
2858,4D,10H,,,,,1.0,1.0,1.0,0.0,20,15
2859,4D,10H,6S,,,,1.0,0.0,0.0,1.0,30,15
2860,JH,4S,,,,,0.0,0.0,1.0,1.0,14,19
2861,5H,AS,,,,,0.0,1.0,0.0,1.0,16,25
2862,2H,5D,,,,,1.0,1.0,1.0,0.0,14,11
2863,2H,5D,7H,,,,1.0,0.0,0.0,1.0,24,11
2864,4S,4D,,,,,1.0,1.0,1.0,0.0,16,18
2865,4S,4D,8S,,,,1.0,0.0,0.0,1.0,26,18
2866,8S,AD,,,,,0.0,0.0,1.0,1.0,19,20
2867,5D,7S,,,,,1.0,1.0,1.0,0.0,21,7
2868,6C,2H,,,,,0.0,0.0,1.0,1.0,8,12
2869,KS,JH,,,,,1.0,0.0,0.0,1.0,23,19
2870,KH,KS,,,,,1.0,0.0,0.0,1.0,30,17
2871,AS,4S,,,,,0.0,0.0,1.0,1.0,15,21
2872,5S,10C,,,,,1.0,0.0,0.0,1.0,25,13
2873,4H,JS,,,,,0.0,1.0,0.0,1.0,14,23
2874,2D,9D,,,,,0.0,0.0,1.0,1.0,11,12
2875,QD,5H,,,,,0.0,0.0,1.0,1.0,15,17
2876,3C,KH,,,,,1.0,0.0,0.0,1.0,23,19
2877,7C,3C,,,,,1.0,1.0,1.0,0.0,20,17
2878,7C,3C,QH,,,,0.0,1.0,0.0,1.0,20,27
2879,4S,6S,,,,,1.0,1.0,1.0,0.0,11,15
2880,QD,JH,,,,,1.0,0.0,0.0,1.0,22,20
2881,JH,5S,,,,,1.0,1.0,1.0,0.0,17,13
2882,JH,5S,2C,,,,1.0,1.0,1.0,0.0,20,13
2883,JH,5S,2C,3D,,,1.0,0.0,0.0,1.0,24,13
2884,2S,10C,,,,,1.0,0.0,0.0,1.0,22,13
2885,3D,6S,,,,,1.0,1.0,1.0,0.0,19,16
2886,3D,6S,QH,,,,1.0,0.0,0.0,1.0,29,16
2887,JS,KC,,,,,1.0,0.0,0.0,1.0,24,16
2888,6C,3D,,,,,1.0,1.0,1.0,0.0,19,20
2889,6C,3D,JH,,,,1.0,0.0,0.0,1.0,27,20
2890,8D,9H,,,,,1.0,0.0,0.0,1.0,24,17
2891,10D,10C,,,,,0.0,1.0,0.0,1.0,20,22
2892,KD,9H,,,,,1.0,0.0,0.0,1.0,29,6
2893,2S,4H,,,,,0.0,0.0,1.0,1.0,6,19
2894,5H,6C,,,,,0.0,0.0,1.0,1.0,11,21
2895,5C,4H,,,,,0.0,0.0,1.0,1.0,9,13
2896,6D,5D,,,,,0.0,0.0,1.0,1.0,11,18
2897,KS,QS,,,,,0.0,1.0,0.0,1.0,20,24
2898,4D,5S,,,,,0.0,0.0,1.0,1.0,9,12
2899,8C,5H,,,,,0.0,0.0,1.0,1.0,13,17
2900,8D,JD,,,,,1.0,1.0,1.0,0.0,19,10
2901,8D,JD,AC,,,,0.0,1.0,0.0,1.0,19,29
2902,AC,8H,,,,,1.0,1.0,1.0,0.0,12,9
2903,AC,8H,3S,,,,0.0,0.0,1.0,1.0,12,18
2904,5S,8D,,,,,0.0,0.0,1.0,1.0,13,21
2905,KC,QD,,,,,0.0,0.0,1.0,1.0,20,21
2906,10S,4S,,,,,0.0,0.0,1.0,1.0,14,21
2907,JS,9S,,,,,0.0,0.0,1.0,1.0,19,21
2908,KS,6H,,,,,1.0,0.0,0.0,1.0,25,17
2909,5C,10C,,,,,1.0,0.0,0.0,1.0,25,17
2910,QH,5C,,,,,0.0,1.0,0.0,1.0,15,25
2911,9H,KD,,,,,1.0,0.0,0.0,1.0,23,13
2912,9H,7D,,,,,0.0,1.0,0.0,1.0,16,24
2913,4S,KD,,,,,0.0,0.0,1.0,1.0,14,19
2914,JS,3D,,,,,0.0,0.0,1.0,1.0,13,15
2915,KD,3H,,,,,0.0,0.0,1.0,1.0,13,15
2916,5S,6C,,,,,0.0,0.0,1.0,1.0,11,14
2917,3C,KS,,,,,0.0,0.0,1.0,1.0,13,18
2918,QD,6C,,,,,1.0,0.0,0.0,1.0,26,18
2919,9H,AD,,,,,1.0,1.0,1.0,0.0,20,17
2920,9H,AD,KS,,,,1.0,1.0,1.0,0.0,21,17
2921,3H,2C,,,,,1.0,1.0,1.0,0.0,15,20
2922,3H,2C,KC,,,,1.0,0.0,0.0,1.0,24,20
2923,2D,9C,,,,,1.0,1.0,1.0,0.0,15,20
2924,2D,9C,4D,,,,0.0,0.0,1.0,1.0,15,20
2925,8S,5C,,,,,0.0,0.0,1.0,1.0,13,16
2926,JC,6D,,,,,0.0,0.0,1.0,1.0,16,19
2927,QH,6D,,,,,1.0,1.0,1.0,0.0,17,20
2928,QH,6D,AH,,,,1.0,0.0,0.0,1.0,27,20
2929,2H,QS,,,,,0.0,0.0,1.0,1.0,12,19
2930,7D,2H,,,,,0.0,0.0,1.0,1.0,9,20
2931,6S,QC,,,,,1.0,0.0,0.0,1.0,26,12
2932,3S,8H,,,,,1.0,1.0,1.0,0.0,15,12
2933,3S,8H,4S,,,,1.0,1.0,1.0,0.0,17,12
2934,3S,8H,4S,2S,,,0.0,0.0,1.0,1.0,17,20
2935,8C,9S,,,,,1.0,0.0,0.0,1.0,23,6
2936,7D,10S,,,,,1.0,0.0,0.0,1.0,27,13
2937,JC,4S,,,,,0.0,0.0,1.0,1.0,14,20
2938,9D,7D,,,,,1.0,0.0,0.0,1.0,24,7
2939,10C,8D,,,,,1.0,0.0,0.0,1.0,28,8
2940,KS,9D,,,,,1.0,0.0,0.0,1.0,29,17
2941,KS,8D,,,,,0.0,0.0,1.0,1.0,18,19
2942,10S,JH,,,,,1.0,1.0,1.0,0.0,21,16
2943,JS,KH,,,,,1.0,0.0,0.0,1.0,29,6
2944,3C,AC,,,,,0.0,0.0,1.0,1.0,14,19
2945,KC,KD,,,,,1.0,0.0,0.0,1.0,25,20
2946,KC,6D,,,,,0.0,0.0,1.0,1.0,16,17
2947,8S,8D,,,,,0.0,0.0,1.0,1.0,16,21
2948,8C,AD,,,,,0.0,1.0,0.0,1.0,19,25
2949,9H,KH,,,,,0.0,0.0,1.0,1.0,19,20
2950,10H,8S,,,,,0.0,0.0,1.0,1.0,18,20
2951,QD,8D,,,,,1.0,1.0,1.0,0.0,20,20
2952,QD,8D,2S,,,,0.0,1.0,0.0,1.0,20,25
2953,6S,2H,,,,,1.0,1.0,1.0,0.0,11,3
2954,6S,2H,3D,,,,1.0,1.0,1.0,0.0,13,3
2955,6S,2H,3D,2S,,,1.0,1.0,1.0,0.0,17,3
2956,6S,2H,3D,2S,4S,,1.0,0.0,0.0,1.0,24,13
2957,6C,8S,,,,,1.0,0.0,0.0,1.0,24,12
2958,3C,10H,,,,,0.0,0.0,1.0,1.0,13,17
2959,10C,4H,,,,,1.0,1.0,1.0,0.0,16,13
2960,10C,4H,2S,,,,1.0,1.0,1.0,0.0,17,13
2961,10C,4H,2S,AS,,,1.0,1.0,1.0,0.0,21,13
2962,AD,5S,,,,,1.0,1.0,1.0,0.0,8,12
2963,AD,5S,2C,,,,1.0,1.0,1.0,0.0,12,12
2964,AD,5S,2C,4H,,,0.0,0.0,1.0,1.0,12,15
2965,3D,KD,,,,,0.0,0.0,1.0,1.0,13,20
2966,8C,5S,,,,,1.0,1.0,1.0,0.0,20,4
2967,8C,5S,7S,,,,0.0,1.0,0.0,1.0,20,24
2968,8D,8C,,,,,1.0,1.0,1.0,0.0,18,12
2969,8D,8C,2C,,,,0.0,0.0,1.0,1.0,18,19
2970,8H,QH,,,,,1.0,0.0,0.0,1.0,25,13
2971,10D,5D,,,,,0.0,0.0,1.0,1.0,15,20
2972,QD,2S,,,,,1.0,0.0,0.0,1.0,22,11
2973,JC,7S,,,,,0.0,1.0,0.0,1.0,17,23
2974,2D,8S,,,,,1.0,1.0,1.0,0.0,19,16
2975,2D,8S,9C,,,,1.0,0.0,0.0,1.0,26,16
2976,8S,10H,,,,,0.0,0.0,1.0,1.0,18,19
